iter	Passed	Remaining
370	2507	4250
371	2514	4244
372	2521	4238
373	2528	4232
374	2535	4226
375	2542	4219
376	2549	4213
377	2557	4209
378	2564	4202
379	2571	4196
380	2579	4191
381	2586	4185
382	2594	4179
383	2601	4173
384	2609	4168
385	2616	4162
386	2624	4157
387	2632	4151
388	2639	4145
389	2646	4138
390	2653	4132
391	2660	4127
392	2668	4121
393	2675	4115
394	2683	4109
395	2690	4103
396	2697	4097
397	2704	4090
398	2711	4084
399	2718	4077
400	2725	4071
401	2732	4064
402	2739	4057
403	2746	4051
404	2753	4045
405	2760	4039
406	2768	4033
407	2775	4026
408	2781	4018
409	2787	4011
410	2793	4003
411	2799	3995
412	2805	3987
413	2811	3979
414	2817	3970
415	2822	3962
416	2828	3954
417	2833	3945
418	2839	3937
419	2845	3930
420	2852	3922
421	2858	3915
422	2864	3907
423	2870	3899
424	2875	3891
425	2881	3882
426	2887	3874
427	2892	3865
428	2898	3857
429	2904	3850
430	2910	3841
431	2915	3833
432	2922	3826
433	2927	3818
434	2933	3809
435	2938	3801
436	2944	3793
437	2950	3785
438	2955	3777
439	2961	3768
440	2967	3761
441	2972	3752
442	2978	3744
443	2984	3737
444	2990	3729
445	2996	3721
446	3002	3714
447	3007	3705
448	3013	3698
449	3019	3690
450	3024	3682
451	3030	3674
452	3036	3666
453	3042	3658
454	3048	3652
455	3055	3644
456	3061	3638
457	3069	3631
458	3076	3625
459	3083	3619
460	3090	3613
461	3097	3606
462	3104	3600
463	3111	3594
464	3118	3587
465	3123	3579
466	3129	3572
467	3135	3564
468	3140	3556
469	3147	3548
470	3152	3540
471	3157	3532
472	3164	3525
473	3170	3517
474	3175	3509
475	3181	3502
476	3186	3494
477	3192	3486
478	3198	3478
479	3203	3470
480	3210	3464
481	3216	3456
482	3222	3449
483	3229	3442
484	3234	3434
485	3239	3426
486	3245	3418
487	3251	3411
488	3256	3403
489	3262	3395
490	3268	3388
491	3273	3380
492	3279	3372
493	3285	3365
494	3292	3358
495	3297	3351
496	3303	3343
497	3309	3335
498	3314	3328
499	3320	3320
500	3325	3312
501	3331	3304
502	3336	3297
503	3342	3289
504	3348	3281
505	3353	3273
506	3359	3266
507	3364	3258
508	3369	3250
509	3375	3243
510	3381	3235
511	3386	3227
512	3392	3220
513	3397	3212
514	3403	3205
515	3409	3198
516	3415	3190
517	3420	3183
518	3426	3175
519	3431	3167
520	3437	3160
521	3443	3153
522	3448	3145
523	3454	3138
524	3460	3130
525	3465	3123
526	3471	3115
527	3476	3107
528	3482	3100
529	3488	3093
530	3493	3085
531	3499	3078
532	3505	3070
533	3510	3063
534	3516	3056
535	3522	3049
536	3527	3041
537	3533	3034
538	3538	3026
539	3544	3019
540	3550	3012
541	3555	3004
542	3562	2998
543	3569	2991
544	3574	2984
545	3580	2977
546	3586	2970
547	3592	2962
548	3597	2955
549	3603	2948
550	3609	2941
551	3615	2933
552	3620	2926
553	3626	2919
554	3631	2911
555	3637	2904
556	3642	2896
557	3648	2889
558	3653	2882
559	3659	2875
560	3664	2867
561	3670	2860
562	3675	2853
563	3681	2846
564	3687	2839
565	3693	2832
566	3700	2825
567	3706	2819
568	3713	2812
569	3719	2806
570	3726	2799
571	3732	2793
572	3740	2787
573	3747	2781
574	3753	2774
575	3759	2767
576	3766	2760
577	3773	2755
578	3780	2748
579	3786	2741
580	3791	2734
581	3797	2727
582	3803	2720
583	3809	2713
584	3814	2706
585	3820	2698
586	3825	2691
587	3831	2684
588	3837	2677
589	3842	2670
590	3848	2663
591	3854	2656
592	3859	2649
593	3865	2642
594	3871	2635
595	3877	2628
596	3883	2621
597	3888	2614
598	3894	2607
599	3900	2600
600	3906	2593
601	3912	2586
602	3917	2579
603	3924	2573
604	3930	2566
605	3937	2559
606	3944	2553
607	3950	2547
608	3957	2540
609	3963	2534
610	3969	2527
611	3976	2521
612	3982	2514
613	3989	2507
614	3995	2500
615	4000	2493
616	4008	2488
617	4014	2481
618	4019	2474
619	4025	2467
620	4030	2460
621	4036	2453
622	4042	2446
623	4048	2439
624	4055	2433
625	4061	2426
626	4066	2419
627	4072	2412
628	4078	2405
629	4084	2399
630	4091	2392
631	4096	2385
632	4102	2378
633	4109	2372
634	4114	2365
635	4120	2358
636	4125	2351
637	4131	2344
638	4137	2337
639	4143	2330
640	4148	2323
641	4154	2316
642	4160	2309
643	4165	2302
644	4171	2296
645	4177	2289
646	4183	2282
647	4189	2275
648	4194	2268
649	4200	2261
650	4206	2255
651	4211	2248
652	4217	2241
653	4223	2234
654	4228	2227
655	4234	2220
656	4240	2213
657	4245	2206
658	4251	2200
659	4257	2193
660	4262	2186
661	4269	2179
662	4274	2172
663	4280	2166
664	4287	2159
665	4292	2152
666	4298	2145
667	4304	2139
668	4309	2132
669	4315	2125
670	4321	2118
671	4327	2112
672	4335	2106
673	4342	2100
674	4349	2093
675	4356	2087
676	4362	2081
677	4369	2075
678	4375	2068
679	4382	2062
680	4388	2055
681	4394	2049
682	4401	2042
683	4407	2036
684	4413	2029
685	4419	2022
686	4425	2016
687	4430	2009
688	4436	2002
689	4442	1995
690	4447	1988
691	4453	1982
692	4458	1975
693	4464	1968
694	4470	1961
695	4475	1954
696	4482	1948
697	4488	1941
698	4494	1935
699	4501	1929
700	4508	1923
701	4515	1916
702	4522	1910
703	4529	1904
704	4535	1898
705	4542	1891
706	4548	1885
707	4555	1878
708	4562	1872
709	4568	1865
710	4574	1859
711	4580	1852
712	4587	1846
713	4593	1839
714	4599	1833
715	4604	1826
716	4610	1819
717	4615	1812
718	4621	1806
719	4628	1799
720	4633	1793
721	4639	1786
722	4645	1779
723	4650	1772
724	4656	1766
725	4662	1759
726	4667	1752
727	4673	1746
728	4679	1739
729	4684	1732
730	4690	1725
731	4695	1719
732	4701	1712
733	4707	1705
734	4712	1699
735	4718	1692
736	4725	1686
737	4730	1679
738	4736	1672
739	4742	1666
740	4747	1659
741	4753	1652
742	4759	1646
743	4764	1639
744	4770	1632
745	4776	1626
746	4781	1619
747	4787	1612
748	4793	1606
749	4799	1599
750	4805	1593
751	4812	1587
752	4819	1581
753	4827	1574
754	4833	1568
755	4840	1562
756	4847	1556
757	4854	1549
758	4861	1543
759	4867	1537
760	4875	1531
761	4881	1524
762	4888	1518
763	4894	1512
764	4900	1505
765	4906	1498
766	4912	1492
767	4917	1485
768	4923	1478
769	4928	1472
770	4935	1465
771	4940	1459
772	4946	1452
773	4952	1445
774	4957	1439
775	4963	1432
776	4969	1426
777	4975	1419
778	4980	1412
779	4986	1406
780	4991	1399
781	4997	1393
782	5003	1386
783	5008	1379
784	5015	1373
785	5021	1367
786	5028	1360
787	5034	1354
788	5041	1348
789	5048	1341
790	5054	1335
791	5060	1329
792	5068	1322
793	5074	1316
794	5081	1310
795	5088	1304
796	5096	1298
797	5104	1292
798	5113	1286
799	5121	1280
800	5129	1274
801	5136	1268
802	5143	1261
803	5151	1255
804	5158	1249
805	5164	1243
806	5170	1236
807	5176	1229
808	5181	1223
809	5187	1216
810	5193	1210
811	5199	1203
812	5204	1197
813	5210	1190
814	5216	1184
815	5221	1177
816	5227	1170
817	5233	1164
818	5238	1157
819	5244	1151
820	5250	1144
821	5256	1138
822	5262	1131
823	5268	1125
824	5275	1119
825	5281	1112
826	5287	1106
827	5293	1099
828	5298	1092
829	5304	1086
830	5310	1080
831	5316	1073
832	5322	1067
833	5328	1060
834	5334	1054
835	5340	1047
836	5346	1041
837	5352	1034
838	5357	1028
839	5363	1021
840	5369	1015
841	5374	1008
842	5380	1002
843	5386	995
844	5392	989
845	5398	982
846	5403	976
847	5409	969
848	5415	963
849	5420	956
850	5426	950
851	5432	943
852	5437	937
853	5443	930
854	5449	924
855	5455	917
856	5461	911
857	5466	904
858	5473	898
859	5478	891
860	5484	885
861	5490	878
862	5495	872
863	5501	866
864	5509	859
865	5515	853
866	5520	846
867	5526	840
868	5531	833
869	5537	827
870	5543	821
871	5549	814
872	5555	808
873	5560	801
874	5566	795
875	5572	788
876	5578	782
877	5584	776
878	5590	769
879	5596	763
880	5602	756
881	5607	750
882	5613	743
883	5619	737
884	5625	730
885	5631	724
886	5637	718
887	5642	711
888	5649	705
889	5655	699
890	5661	692
891	5668	686
892	5673	679
893	5679	673
894	5685	667
895	5691	660
896	5697	654
897	5703	647
898	5709	641
899	5715	635
900	5720	628
901	5726	622
902	5732	615
903	5738	609
904	5743	602
905	5750	596
906	5755	590
907	5761	583
908	5768	577
909	5773	571
910	5779	564
911	5785	558
912	5791	551
913	5797	545
914	5803	539
915	5809	532
916	5815	526
917	5821	519
918	5827	513
919	5833	507
920	5839	500
921	5844	494
922	5850	488
923	5857	481
924	5863	475
925	5869	469
926	5875	462
927	5881	456
928	5887	449
929	5894	443
930	5901	437
931	5907	431
932	5915	424
933	5921	418
934	5928	412
935	5936	405
936	5943	399
937	5950	393
938	5957	386
939	5963	380
940	5970	374
941	5976	368
942	5983	361
943	5989	355
944	5996	349
945	6003	342
946	6010	336
947	6016	330
948	6022	323
949	6028	317
950	6034	310
951	6039	304
952	6046	298
953	6052	291
954	6057	285
955	6063	279
956	6069	272
957	6075	266
958	6081	259
959	6086	253
960	6093	247
961	6098	240
962	6104	234
963	6110	228
964	6116	221
965	6121	215
966	6127	209
967	6133	202
968	6140	196
969	6145	190
970	6151	183
971	6156	177
972	6162	171
973	6168	164
974	6174	158
975	6180	151
976	6186	145
977	6191	139
978	6197	132
979	6203	126
980	6208	120
981	6214	113
982	6221	107
983	6227	101
984	6232	94
985	6238	88
986	6244	82
987	6250	75
988	6255	69
989	6261	63
990	6267	56
991	6273	50
992	6279	44
993	6285	37
994	6291	31
995	6297	25
996	6303	18
997	6309	12
998	6315	6
999	6322	0
